quote,manager_name,context,topics
"It is not the manager's job to prevent risks. It is the manager's job to make it safe to take them.",Ed Catmull,Pixar co-founder,risk|leadership
"The only thing worse than starting something and failing is not starting something.",Seth Godin,,risk|action
"Confidence applied properly surpasses genius.",Mike Tyson,,confidence|mindset
"You either suffer the pain of discipline or the pain of regret.",Jim Rohn,,discipline|philosophy
"There is no such thing as failure. There are only results.",Tony Robbins,,mindset|philosophy
"When you undervalue what you do, the world will undervalue who you are.",Oprah Winfrey,,value|sales
"People often say motivation doesn't last. Well, neither does bathing.",Zig Ziglar,,motivation|philosophy
"Motivation will almost always beat mere talent.",Norman Ralph Augustine,,motivation|talent
"Sales are contingent upon the attitude of the salesman.",William Clement Stone,,sales|mindset
"The hours ordinary people waste, extraordinary people leverage.",Robin Sharma,,productivity|excellence
"Knowledge isn't power, applied knowledge is.",Paul Chek,,action|knowledge
"Buyers don't believe anything until they first believe in you.",Deb Calvert,,sales|trust
"You don't close a sale; you open a relationship.",Patricia Fripp,,sales|relationship
"Customers don't care whether you close the deal or not.",Aaron Ross,,sales|perspective
"Nothing happens until a sale is made.",Unknown,,sales|philosophy
"Never confuse activity with accomplishment.",Lori Richardson,,productivity|focus
"I have never worked a day without selling.",Estée Lauder,,sales|passion
"Losers have goals. Winners have systems.",Scott Adams,,systems|philosophy
"In business, you get what you negotiate.",Dr. Chet Karrass,,negotiation|sales
"Success is nothing more than disciplines practiced daily.",Jim Rohn,,discipline|success
"Success is the ability to go from failure without losing enthusiasm.",Winston Churchill,,resilience|success
"Failure is an event, not a person.",Zig Ziglar,,mindset|resilience
"None of us is as good as all of us.",Ray Kroc,,teamwork|collaboration
"It is amazing what you can accomplish if you do not care who gets the credit.",Harry S Truman,,teamwork|humility
"Coming together is a beginning, staying together is progress, and working together is a success.",Henry Ford,,teamwork|collaboration
"I can do things you cannot, you can do things I cannot; together we can do great things.",Mother Teresa,,teamwork|collaboration
"Collaboration is multiplication.",John C. Maxwell,,teamwork|leadership
"It is better to have a great team than a team of greats.",Simon Sinek,,teamwork|philosophy
"Teamwork is the ability to work together toward a common vision.",Andrew Carnegie,,teamwork|vision
"Individual commitment to a group effort — that is what makes a team work.",Vince Lombardi,,teamwork|commitment
"The secret is to work less as individuals and more as a team.",Knute Rockne,,teamwork|philosophy
"It is better to have one person working with you than three people working for you.",Dwight D. Eisenhower,,teamwork|leadership
"Great teamwork is the only way we create the breakthroughs that define our careers.",Pat Riley,,teamwork|innovation
"The way a team plays as a whole determines its success.",Babe Ruth,,teamwork|success
"Teamwork divides the task and multiplies the success.",Unknown,,teamwork|success
"Teamwork is the fuel that allows common people to attain uncommon results.",Andrew Carnegie,,teamwork|achievement
"Great things in business are never done by one person. They're done by a team of people.",Steve Jobs,,teamwork|business
"Talent wins games, but teamwork and intelligence wins championships.",Michael Jordan,,teamwork|winning
"When you hand good people possibility, they do great things.",Biz Stone,,trust|empowerment
"Never doubt that a small group of thoughtful citizens can change the world.",Margaret Mead,,teamwork|change
"I'd rather have 1% of the effort of 100 men than 100% of my own effort.",J. Paul Getty,,leverage|teamwork
"A major reason capable people fail to advance is that they don't work well with colleagues.",Lee Iacocca,,teamwork|career
